t,pwf,qg
612,615.57,872.05
613,617.16,859.98
614,615.29,757.35
615,617.65,750
616,614.49,597.03
617,615.27,77.27
620,605.41,916.59
621,606.26,885.17
622,633.62,872.41
623,636.98,876.09
624,616.73,863.73
625,618.4,862.18
626,610.25,813.83
627,610.42,165.06
629,619.68,868.72
630,618.14,884.91
631,619.76,879.29
632,615.21,869.14
633,618.41,863.4
634,616.05,841.86
635,618.23,837.38
636,628.25,799.58
637,630.49,828.46
638,614.72,668.25
639,615.71,323.48
642,638.5,942.16
643,639.71,913.3
644,630.41,882.8
645,631.97,864.74
646,639.78,866.84
647,642.76,819.03
648,643.57,864.6
649,645.4,846.06
650,627.14,824.76
651,629.32,837.68
652,617.13,662.59
653,615.29,104.19
656,643.08,867.23
657,643.81,966.38
658,641.8,920.24
659,642.3,745.74
660,624.28,849.15
661,625.98,887.45
662,643.39,844.87
663,645.06,793.83
664,644.1,458.97
665,646.22,67.56
667,618.69,901.42
668,622.97,907.37
669,624.83,898.5
670,624.24,879.86
671,625.78,860.35
672,634.35,850.72
673,634.1,601.6
674,622.89,426.11
675,623.97,115.35
677,643.21,885.29
678,642.68,985.9
679,643.68,949.32
680,620.14,914.97
681,621.04,885.54
682,618.22,849.9
683,623.26,654.1
684,630.26,151.8
686,679.98,821.05
687,682.44,849.84
688,642.06,861.99
689,655.26,845.33
690,663.11,703.1
691,664.86,134.4
693,665.19,313.51
695,661.96,922.48
696,688.56,902.5
697,698.51,852.54
698,698.32,867.29
699,697.56,686.56
700,679.16,791.72
701,671.79,918
702,670.05,842.62
703,669.88,816.17
704,671.04,529.63
705,672.26,90.6
707,675.55,731.66
708,653.87,383.61
709,658.61,67.49
712,678.16,918.72
713,680.32,902.04
714,678.42,889.01
715,678.76,634.84
716,630.2,74.87
718,683.12,571.13
719,684.61,561.48
720,682.76,568.27
721,686.36,883.25
722,676.64,904.7
723,677.56,858.61
724,701.66,871.05
725,702.68,719.6
726,659.18,389.69
727,667.3,89.44
728,739.18,0
729,739.18,0
730,742.45,963.13
731,742.72,1002.17
732,681.82,946.64
733,683.64,844.62
734,696.96,477.12
735,700.9,199.84
736,553.37,0
738,700.35,1007.39
739,701.89,987.77
740,695.71,922.2
741,698.71,883.96
742,703.27,876.13
743,702.49,364.65
744,703.58,651.94
745,705.04,909.01
746,742.93,864.89
747,745.27,819.28
748,744.49,667.13
749,745.22,809.96
750,714.56,790.05
751,716.6,778.15
752,717.07,763.44
753,718.93,752.98
754,725.56,744.73
755,727.6,753.54
756,725.26,755.68
757,726.33,748.72
758,706.84,725.15
759,707.39,673.37
760,801.74,670.93
761,802.82,687.8
762,790.47,698.44
763,790.58,721.09
764,758.49,744.9
765,758.51,749.26
766,715.16,723.77
767,716.37,735.1
768,699.01,727.74
769,699.03,730.19
770,705.18,724.03
771,685.33,710.85
773,703.77,691.94
775,720.64,687.95
777,702.36,678.45
779,707.7,647.28
781,738.94,656.47
783,726.32,662.32
785,707.22,675.29
787,726.17,661.47
789,702.64,645.89
791,671.32,627.97
793,703.62,660.82
795,689.45,641.6
797,695.64,643.56
799,665.13,647.94
801,671.24,639.05
803,693.25,445.6
805,707.69,645.69
806,666.4,635.26
807,672.67,654.89
808,671.88,474.22
810,683.16,682.56
812,664.57,668.47
814,695.9,636.09
816,696.01,651.77
818,671.33,652.96
820,652.95,648.26
822,658.96,648.05
824,659.13,650.46
826,666.02,632.81
828,640.51,583.18
830,626.74,417.54
832,639.84,601.15
834,681.08,614.85
836,628.17,630.09
838,651.34,588.23
840,644.85,624.42
842,639.23,657.81
844,653.42,673.61
845,654.15,657.47
846,647.47,657.8
847,647.97,656.7
848,641.78,653.78
849,641.76,649.58
850,641.81,660.15
851,610.91,653.31
852,629.35,639.3
853,641.76,650.76
854,635.57,647.73
855,666.38,631.4
856,669.8,635
857,672.58,636.4
858,672.11,648.25
859,672.66,652.13
860,659.71,638.93
861,641.76,650.93
862,640.48,650.25
863,641.75,648.53
864,628.62,653.17
865,629.37,643.18
866,647.89,641.54
867,647.88,640.51
868,658.59,692.59
869,659.56,486.2
870,628.81,682.21
871,629.61,686.12
872,628.04,672.02
873,629.49,665.51
874,629.19,660.7
875,629.47,661.3
876,616.34,660.88
877,617.09,654.37
878,629.37,643.05
879,629.34,638.07
880,641.78,655.15
881,641.74,647.14
882,641.69,636.5
883,641.65,629.73
884,644.68,627.19
885,647.81,626.12
886,653.1,622.1
887,653.95,618.84
888,646.74,592.36
889,647.91,646.18
890,641.06,227.21
892,634.7,677.78
893,635.62,657.5
894,634.21,641.16
895,635.54,641.91
896,647.04,639.91
897,647.85,634.45
898,646.71,630.28
899,647.84,630.98
900,645.98,631.06
901,647.82,628
902,640.48,620.47
903,641.62,622.44
904,641,617.34
905,641.61,621.62
906,603.84,634.49
907,604.48,604.92
909,821.32,664.6
910,609.36,644.74
911,610.86,643.37
912,615.05,640.72
913,616.99,637.12
914,609.23,626.27
915,610.73,620.92
916,609.94,625
917,610.82,636.79
918,610.79,631.93
919,610.75,624.77
920,629.26,622.61
921,629.28,625.7
922,623.09,622.05
923,623.08,621.28
924,616.97,632.87
925,616.91,621.59
926,616.93,624.49
927,616.9,618.61
928,622.04,627.7
929,623.02,609.71
930,622.4,601.79
931,623.05,615.29
932,615.05,612.89
933,616.87,613.42
934,652.71,604.01
935,653.9,608.4
936,627.78,603.85
937,629.16,601.78
938,627.29,603.5
939,629.15,599.68
940,628.04,604.75
941,629.14,598.71
942,628.05,606.33
943,629.21,611.67
944,634.79,610.28
945,635.27,589.08
946,646.94,576.97
947,647.71,605.63
948,646.77,596.85
949,647.6,582.8
950,640.79,580.25
951,641.43,584.96
952,640.81,583.43
953,641.49,596.82
954,641.46,591.53
955,640.86,593.18
956,641.45,588.46
957,641.23,605.63
958,641.51,600.88
959,640.83,587.71
960,629.13,595.51
961,633.85,590.57
962,635.29,592.71
963,659.61,577.13
